"pcs" "RUC" "cs" "reves" "crevpp" "region" "habi" "Ahabi" "Atyph" "agecat" "Acompm" "nbpers" "enfants" "Anat" "Bauto" "Nbadulte" "Sinistre1" "Sinistre2" "Sinistre3" "Police1" "Police2" "Police3" "durPolice1" "Durée" "NSin" "censure" "Sinistre0"
"Retraites" 9558.823 "Moyenne Sup" 16250 "4eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 3.68 7.625 7.51 1.87 4.02412614337837 402 3 1 19.9895267637233
"Ouvriers" 2777.778 "Modeste" 7500 "1er quartile" "5" "0" "Communes rurales" "Locataire" "21-40" "Couple avec enfant(s)" 4 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 0 0 0.92 0 23.53 2.415 0 30 5 0 1.60965032977719
"Retraites" 16176.47 "Aise" 27500 "4eme quartile" "9" "1" "Un. urb. de 2 000 a 9 999 hab." "Proprietaire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 0.46 0.3 11.52 1.631 10.7283712221943 1073 3 1 21.3451734051282
"Retraites" 8088.235 "Moyenne Sup" 13750 "4eme quartile" "8" "5" "Un. urb. de 10 000 a 99 999 hab." "Proprietaire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 0 9.88 14.995 2.41 3.09923044749305 310 0 1 17.2189527247511
"Cadres et prof. intellectuelles sup." 4296.875 "Moyenne Inf" 13750 "1er quartile" "8" "0" "Communes rurales" "Locataire" "21-40" "Couple avec enfant(s)" 5 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 0 0 0.6 2.55 12.025 2.682 0.0684502391831192 7 6 0 12.9247067490259
"Retraites" 8088.235 "Moyenne Sup" 13750 "4eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 0.71 11.3 0.475 0.467 3.09923044749305 310 3 1 17.1900232164874
"Cadres et prof. intellectuelles sup." 11029.41 "Aise" 18750 "4eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "41-50" "Couple sans enfant" 2 "Pas d'enfants" "Au moins une personne etrangere" "Au - 1 vehicule" 2 4 0 2.51 9.05 0 0.54 7.15181804691975 715 6 1 22.0899237462294
"Professions intermediaires" 11029.41 "Aise" 18750 "4eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "21-40" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 0.24 14.336 7.66 1.45 5.12450155814469 512 3 1 20.730516819882
"Professions intermediaires" 6018.519 "Moyenne Inf" 16250 "3eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "21-40" "Couple avec enfant(s)" 4 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 0 0 0 1.8 13.01 1.394 0.277843802487079 28 0 1 8.96138229013994
"Ouvriers" 13541.67 "Aise" 32500 "4eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "51-60" "Autre menage" 3 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0 0 0.48 0 1.25 13.436 0 30 4 1 18.2317760774519
"Autres pers. sans activite prof." 1184.211 "Modeste" 4500 "1er quartile" "5" "0" "Communes rurales" "Locataire" "51-60" "Autre menage" 5 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 5 0.9 0 5.66 6.293 34.161 0.65 0.0261321801573856 3 12 0 16.9001552561642
"Retraites" 11029.41 "Aise" 18750 "4eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Au moins une personne etrangere" "Au - 1 vehicule" 2 0 0 0 11.74 18.295 2.33 5.12450155814469 512 0 1 17.5992600923615
"Retraites" 13750 "Aise" 13750 "4eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "61-96" "Personne seule" 1 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 1 0 0 0.92 2.3 2.535 3.93 20.9473706638497 2095 2 1 21.3754478574283
"Retraites" 9558.823 "Moyenne Sup" 16250 "4eme quartile" "1" "1" "Un. urb. de 2 000 a 9 999 hab." "Proprietaire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 1.41 0.9 8.615 11.24 4.02412614337837 402 3 1 19.9263960554652
"Employes" 4513.889 "Moyenne Inf" 16250 "2eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "41-50" "Autre menage" 5 "Pas d'enfants" "Menage francais" "Pas de vehicule" 4 7.6 0 4.99 0.2 14.01 2.69 0.155597313744035 16 12 1 17.6490554351727
"Cadres et prof. intellectuelles sup." 15789.47 "Aise" 60000 "4eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "41-50" "Autre menage" 5 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 5 0.28 0 0 12.78 0 0.55 0.519548694686393 52 6 1 20.5473029708975
"Cadres et prof. intellectuelles sup." 11458.33 "Aise" 27500 "4eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "51-60" "Autre menage" 3 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0 0 0.23 2.48 10.255 2.471 2.01668076664363 202 4 1 18.7242103591555
"Cadres et prof. intellectuelles sup." 5092.593 "Moyenne Inf" 13750 "2eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "21-40" "Couple avec enfant(s)" 4 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 0 1.2 0 0.5 12.07 2.604 0.225841964217384 23 5 1 10.2302855367276
"Ouvriers" 8088.235 "Moyenne Sup" 13750 "4eme quartile" "5" "6" "Un. urb. de 100 000 hab. et +" "Locataire" "21-40" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 0 1.055 5.955 0.08 3.09923044749305 310 0 1 19.1256162497141
"Retraites" 8088.235 "Moyenne Sup" 13750 "4eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 5.05 2.115 4.965 2.157 3.09923044749305 310 3 1 17.9240581886689
"Professions intermediaires" 7386.364 "Moyenne Sup" 16250 "3eme quartile" "8" "7" "Un. urb. de 100 000 hab. et +" "Proprietaire" "21-40" "Couple avec enfant(s)" 3 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 0 0 0 2.575 9.908 0.89 0.99813369320656 100 0 1 12.407026197815
"Employes" 5500 "Moyenne Inf" 5500 "3eme quartile" "3" "5" "Un. urb. de 10 000 a 99 999 hab." "Locataire" "21-40" "Personne seule" 1 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 1 0 0 0.23 0 0 0 0 30 2 1 15.2679410883892
"Cadres et prof. intellectuelles sup." 19117.65 "Aise" 32500 "4eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "41-50" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 2.76 0 10.495 0 0 30 3 1 21.7863785802952
"Ouvriers" 4318.182 "Moyenne Inf" 9500 "2eme quartile" "5" "6" "Un. urb. de 100 000 hab. et +" "Locataire" "21-40" "Couple avec enfant(s)" 3 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 0.8 0 2.07 0.75 19.78 2.465 0.5435841153678 54 8 0 5.82321319650074
"Retraites" 8088.235 "Moyenne Sup" 13750 "4eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 0 0 2.15 1.17 0 30 0 1 18.0501201569981
"Retraites" 7812.5 "Moyenne Sup" 18750 "4eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "61-96" "Autre menage" 3 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0 0 0 1.6 0 1.001 1.08286638798256 108 0 1 15.9196718633928
"Cadres et prof. intellectuelles sup." 5241.936 "Moyenne Inf" 16250 "3eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "41-50" "Autre menage" 4 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 4 0 0 0 2.2 10.727 1.255 0.233799161109459 23 0 1 19.1276286624976
"Cadres et prof. intellectuelles sup." 7258.064 "Moyenne Sup" 22500 "3eme quartile" "8" "7" "Un. urb. de 100 000 hab. et +" "Proprietaire" "51-60" "Autre menage" 4 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 4 0 0 0 1.99 13.81 1.78 0.358130585042603 36 0 1 18.1346094172664
"Retraites" 16250 "Aise" 16250 "4eme quartile" "8" "7" "Un. urb. de 100 000 hab. et +" "Proprietaire" "61-96" "Personne seule" 1 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 1 0 0 0 3.39 6.645 2.56 29.4447687083954 2944 0 1 20.8438881642552
"Professions intermediaires" 6500 "Moyenne Inf" 6500 "4eme quartile" "8" "7" "Un. urb. de 100 000 hab. et +" "Locataire" "21-40" "Personne seule" 1 "Pas d'enfants" "Menage francais" "Pas de vehicule" 1 0.75 0 0.84 0.25 14.38 0 7.5126323431551 751 4 1 18.9483511574169
"Cadres et prof. intellectuelles sup." 5487.805 "Moyenne Inf" 22500 "2eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "41-50" "Couple avec enfant(s)" 6 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 3 0 0 5.63 0.4 66.565 4.805 0.0334620724366386 3 7 1 9.47230580877133
"Retraites" 5729.167 "Moyenne Inf" 13750 "3eme quartile" "7" "5" "Un. urb. de 10 000 a 99 999 hab." "Proprietaire" "61-96" "Autre menage" 3 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0 0 5.93 0.575 7.58 0.35 0.709195087573651 71 4 1 17.287244684529
"Professions intermediaires" 2777.778 "Modeste" 7500 "1er quartile" "4" "7" "Un. urb. de 100 000 hab. et +" "Locataire" "21-40" "Couple avec enfant(s)" 4 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 0 0 2.32 0.9 34.76 3.6 0.121256678038131 12 5 0 9.89477932562139
"Employes" 5208.333 "Moyenne Inf" 18750 "2eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "41-50" "Autre menage" 5 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 4 0 0 0 12.972 50.99 3.338 0.0853460917182528 9 0 1 18.6670321421424
"Professions intermediaires" 7386.364 "Moyenne Sup" 16250 "3eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "41-50" "Couple avec enfant(s)" 3 "Au - 1 enfant" "Au moins une personne etrangere" "Au - 1 vehicule" 2 0 0 0 0 5.185 1.305 0 30 0 1 9.75187085072979
"Employes" 6617.647 "Moyenne Sup" 22500 "3eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "51-60" "Autre menage" 5 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0 0 0 4.855 1.625 1.265 0.115899023274398 12 0 1 20.4543356747758
"Professions intermediaires" 8522.728 "Moyenne Sup" 18750 "4eme quartile" "4" "0" "Communes rurales" "Proprietaire" "21-40" "Couple avec enfant(s)" 3 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 0.8 0.54 0.23 0 12.181 1.49 0 30 12 1 11.1643120821717
"Ouvriers" 5092.593 "Moyenne Inf" 13750 "2eme quartile" "9" "7" "Un. urb. de 100 000 hab. et +" "Proprietaire" "41-50" "Couple avec enfant(s)" 4 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 3.4 7.6 0 3.3 11.76 1.86 0.299815958466046 30 10 1 10.4026101132494
"Ouvriers" 4687.5 "Moyenne Inf" 11250 "2eme quartile" "5" "0" "Communes rurales" "Proprietaire" "51-60" "Autre menage" 3 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0 0 0 0 2.935 1.09 0 30 0 1 16.7060334065766
"Retraites" 5729.167 "Moyenne Inf" 13750 "3eme quartile" "5" "0" "Communes rurales" "Locataire" "51-60" "Autre menage" 3 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0 0 0 5.12 5.915 2.605 0.709195087573651 71 0 1 22.9956085264427
"Professions intermediaires" 3879.31 "Moyenne Inf" 11250 "2eme quartile" "5" "0" "Communes rurales" "Proprietaire" "41-50" "Autre menage" 4 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0 0 0.23 2.65 7.335 3.615 0.166871743838558 17 5 0 18.969764958916
"Retraites" 3823.529 "Moyenne Inf" 6500 "2eme quartile" "5" "0" "Communes rurales" "Proprietaire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 0 1.55 4.025 0.05 1.21469096788073 121 0 0 18.9643457492804
"Ouvriers" 2656.25 "Modeste" 8500 "1er quartile" "5" "0" "Communes rurales" "Locataire" "21-40" "Couple avec enfant(s)" 5 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 0.4 0 0.47 0.5 44.462 6.279 0.0443619723119498 4 12 0 8.8278414479484
"Ouvriers" 3518.519 "Moyenne Inf" 9500 "1er quartile" "5" "0" "Communes rurales" "Proprietaire" "21-40" "Couple avec enfant(s)" 4 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 0 0 10.07 2.775 12.245 0.12 0.151157971817947 15 5 0 8.01719577538069
"Retraites" 2058.823 "Modeste" 3500 "1er quartile" "5" "7" "Un. urb. de 100 000 hab. et +" "Proprietaire" "61-96" "Autre menage" 2 "Pas d'enfants" "Menage francais" "Pas de vehicule" 2 0 0.4 9.53 38.02 16.07 0.56 0.80183039355418 80 6 0 14.5694638263432
"Agr. exploitants" 1406.25 "Modeste" 4500 "1er quartile" "5" "0" "Communes rurales" "Non declare" "21-40" "Couple avec enfant(s)" 5 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 0 0 0 4.58 8.45 0.955 0.0268721010390572 3 0 0 7.76821980549225
"Ouvriers" 4166.667 "Moyenne Inf" 11250 "2eme quartile" "5" "1" "Un. urb. de 2 000 a 9 999 hab." "Locataire" "51-60" "Couple avec enfant(s)" 4 "Au - 1 enfant" "Au moins une personne etrangere" "Au - 1 vehicule" 2 0 0 3.22 7.136 12.164 1.845 0.179962071165884 18 5 0 10.1622492737766
"Agr. exploitants" 6048.387 "Moyenne Sup" 18750 "3eme quartile" "5" "0" "Communes rurales" "Proprietaire" "51-60" "Autre menage" 4 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 4 0 0 4.83 0 29.895 1.354 0 30 5 1 21.3141931466815
"Professions intermediaires" 7500 "Moyenne Sup" 7500 "4eme quartile" "5" "1" "Un. urb. de 2 000 a 9 999 hab." "Locataire" "41-50" "Personne seule" 1 "Pas d'enfants" "Non declare" "Au - 1 vehicule" 1 0.3 0 0 2.47 2.165 0.6 7.72981306521324 773 2 1 21.0979437166766
"Artisans, comm., chefs d'ent." 5729.167 "Moyenne Inf" 13750 "3eme quartile" "5" "4" "Un. urb. de 10 000 a 99 999 hab." "Proprietaire" "51-60" "Autre menage" 3 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0 0 0 1.13 20.5 2.554 0.709195087573651 71 0 1 18.5944230503718
"Professions intermediaires" 6617.647 "Moyenne Sup" 11250 "3eme quartile" "5" "4" "Un. urb. de 10 000 a 99 999 hab." "Proprietaire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Non declare" "Au - 1 vehicule" 2 0 0 0 0 2.07 2.445 0 30 0 1 18.3579055598411
"Employes" 2179.487 "Modeste" 8500 "1er quartile" "5" "4" "Un. urb. de 10 000 a 99 999 hab." "Locataire" "21-40" "Couple avec enfant(s)" 6 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 0 0 1.62 16 10.685 0.17 0.0134268238330154 1 7 0 10.7485833655497
"Professions intermediaires" 6617.647 "Moyenne Sup" 11250 "3eme quartile" "5" "5" "Un. urb. de 10 000 a 99 999 hab." "Proprietaire" "21-40" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 2.38 0 2.5 4.33 31.18 0.73 2.83856140797713 284 6 1 17.5347681914657
"Retraites" 5000 "Moyenne Inf" 8500 "3eme quartile" "5" "5" "Un. urb. de 10 000 a 99 999 hab." "Locataire" "61-96" "Autre menage" 2 "Pas d'enfants" "Menage francais" "Pas de vehicule" 2 0 0 0 0.5 2.56 1.14 1.86579879670324 187 0 1 19.9401698843408
"Ouvriers" 4166.667 "Moyenne Inf" 11250 "2eme quartile" "5" "5" "Un. urb. de 10 000 a 99 999 hab." "Locataire" "21-40" "Couple avec enfant(s)" 4 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 2 0 6.13 1.77 39.34 1.955 0.212600066692686 21 10 0 8.05170599713963
"Ouvriers" 6617.647 "Moyenne Sup" 11250 "3eme quartile" "5" "7" "Un. urb. de 100 000 hab. et +" "Locataire" "51-60" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 0.97 1.8 3.385 1.585 2.32789411133931 233 3 1 21.9855175315755
"Employes" 1976.744 "Modeste" 8500 "1er quartile" "5" "7" "Un. urb. de 100 000 hab. et +" "Proprietaire" "41-50" "Autre menage" 6 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 5 0 0 0 6.135 13.79 0.125 0.0124672880153046 1 0 0 18.675863354198
"Retraites" 4411.765 "Moyenne Inf" 7500 "2eme quartile" "5" "7" "Un. urb. de 100 000 hab. et +" "Proprietaire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 0.46 2.785 5.875 2.19 1.41534118332007 142 3 0 14.1220796755685
"Retraites" 4687.5 "Moyenne Inf" 11250 "2eme quartile" "5" "7" "Un. urb. de 100 000 hab. et +" "Locataire" "61-96" "Autre menage" 3 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0 0 0 7.38 9.11 0.325 0.557390424064978 56 0 1 16.8894861127195
"Artisans, comm., chefs d'ent." 13541.67 "Aise" 32500 "4eme quartile" "5" "7" "Un. urb. de 100 000 hab. et +" "Proprietaire" "51-60" "Autre menage" 3 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0 0 0 12.735 4.435 1.265 2.75189393552146 275 0 1 22.4195741316155
"Retraites" 9558.823 "Moyenne Sup" 16250 "4eme quartile" "5" "0" "Communes rurales" "Proprietaire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 1.67 3.045 1.075 2.005 4.02412614337837 402 3 1 20.1633184048017
"Professions intermediaires" 6770.833 "Moyenne Sup" 16250 "3eme quartile" "5" "7" "Un. urb. de 100 000 hab. et +" "Proprietaire" "51-60" "Autre menage" 3 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0 0 0 1.575 4.29 3.91 0.88352919034272 88 0 1 20.6660928881542
"Retraites" 8500 "Moyenne Sup" 8500 "4eme quartile" "5" "0" "Communes rurales" "Locataire" "61-96" "Personne seule" 1 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 1 0 0 0.46 2 0.825 0 9.08400177005679 908 2 1 18.2670230873987
"Cadres et prof. intellectuelles sup." 7758.621 "Moyenne Sup" 22500 "3eme quartile" "5" "0" "Communes rurales" "Proprietaire" "41-50" "Autre menage" 4 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0 0 0 3.595 10.82 2.05 0.394330649234057 39 0 1 20.6574224795686
"Retraites" 5500 "Moyenne Inf" 5500 "3eme quartile" "5" "1" "Un. urb. de 2 000 a 9 999 hab." "Proprietaire" "61-96" "Personne seule" 1 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 1 0 0 0.92 0 3.5 0.335 0 30 2 1 17.0113161259508
"Retraites" 5000 "Moyenne Inf" 8500 "3eme quartile" "5" "1" "Un. urb. de 2 000 a 9 999 hab." "Proprietaire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 0 18.4 1.07 0 1.63289732557712 163 0 1 16.4815399999136
"Cadres et prof. intellectuelles sup." 4513.889 "Moyenne Inf" 16250 "2eme quartile" "5" "0" "Communes rurales" "Proprietaire" "41-50" "Autre menage" 5 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 4 0 0 3.1 0.55 7.295 0.7 0.0722841356437183 7 6 1 19.0532724231993
"Retraites" 588.2353 "Modeste" 1000 "1er quartile" "5" "0" "Communes rurales" "Locataire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 0 0 1.825 1.095 0 30 0 0 18.3887088505404
"Employes" 6018.519 "Moyenne Inf" 16250 "3eme quartile" "5" "0" "Communes rurales" "Proprietaire" "21-40" "Couple avec enfant(s)" 4 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 25.7 0 9.92 5.76 15.635 1.81 2.36545521163418 237 10 1 10.8437776882681
"Cadres et prof. intellectuelles sup." 4276.316 "Moyenne Inf" 16250 "2eme quartile" "5" "0" "Communes rurales" "Proprietaire" "41-50" "Autre menage" 5 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 4 0.4 0 3.77 10.985 10.59 0.73 0.0704009564064681 7 12 0 14.037318116408
"Ouvriers" 972.2222 "Modeste" 3500 "1er quartile" "5" "0" "Communes rurales" "Proprietaire" "41-50" "Autre menage" 5 "Pas d'enfants" "Non declare" "Au - 1 vehicule" 4 0 0 0.69 18.595 34.92 0.89 0.0217679319328791 2 6 0 16.6472139351743
"Artisans, comm., chefs d'ent." 2741.936 "Modeste" 8500 "1er quartile" "5" "0" "Communes rurales" "Proprietaire" "41-50" "Autre menage" 4 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 4 0 0 2.76 5.55 17.565 4.324 0.119885673787742 12 5 0 19.6155122520462
"Ouvriers" 1718.75 "Modeste" 5500 "1er quartile" "5" "0" "Communes rurales" "Locataire" "21-40" "Couple avec enfant(s)" 5 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 0 0 0 0 25.872 4.795 0 30 0 0 9.88485941045622
"Employes" 16176.47 "Aise" 27500 "4eme quartile" "5" "0" "Communes rurales" "Proprietaire" "41-50" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 0 1 1.77 10.543 10.7283712221943 1073 0 1 18.0187578722042
"Ouvriers" 2500 "Modeste" 9500 "1er quartile" "5" "0" "Communes rurales" "Proprietaire" "41-50" "Autre menage" 5 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 4 0 0 0 1.02 11.075 0.33 0.0407622039783662 4 0 0 17.0462345431722
"Retraites" 4500 "Moyenne Inf" 4500 "3eme quartile" "5" "0" "Communes rurales" "Proprietaire" "61-96" "Personne seule" 1 "Pas d'enfants" "Menage francais" "Pas de vehicule" 1 0 0 0 2.205 6.165 0.235 4.49396166815599 449 0 0 15.8353596804605
"Professions intermediaires" 4687.5 "Moyenne Inf" 11250 "2eme quartile" "5" "1" "Un. urb. de 2 000 a 9 999 hab." "Proprietaire" "41-50" "Couple avec enfant(s)" 3 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 3 0 0 11.46 2 4.65 4.491 0.557390424064978 56 4 1 12.1332319302198
"Retraites" 3958.333 "Moyenne Inf" 9500 "2eme quartile" "5" "1" "Un. urb. de 2 000 a 9 999 hab." "Proprietaire" "61-96" "Autre menage" 3 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0 0 0.26 0 4.19 1.951 0 30 4 0 20.6949879030704
"Ouvriers" 2638.889 "Modeste" 9500 "1er quartile" "5" "1" "Un. urb. de 2 000 a 9 999 hab." "Proprietaire" "21-40" "Autre menage" 5 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 4 0 0.4 0.69 2.25 9.206 6.43 0.042667003570828 4 12 0 15.2838719935996
"Retraites" 7500 "Moyenne Sup" 7500 "4eme quartile" "5" "3" "Un. urb. de 10 000 a 99 999 hab." "Proprietaire" "61-96" "Personne seule" 1 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 1 0 0 0 1.13 1.735 0.93 7.53896330062858 754 0 1 17.9021775114639
"Ouvriers" 5078.125 "Moyenne Inf" 16250 "2eme quartile" "5" "3" "Un. urb. de 10 000 a 99 999 hab." "Proprietaire" "21-40" "Couple avec enfant(s)" 5 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 0 0 5.19 3.5 28.145 0.46 0.0828021544741592 8 6 1 8.3417923382944
"Retraites" 5729.167 "Moyenne Inf" 13750 "3eme quartile" "5" "3" "Un. urb. de 10 000 a 99 999 hab." "Proprietaire" "61-96" "Autre menage" 3 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0 0 2.99 11.475 24.005 0.275 0.709195087573651 71 4 1 16.9165097987486
"Professions intermediaires" 13235.29 "Aise" 22500 "4eme quartile" "5" "2" "Un. urb. de 2 000 a 9 999 hab." "Proprietaire" "51-60" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 1.2 0 5.52 2.7 12.015 2.79 7.91023650670008 791 6 1 18.6796178823349
"Employes" 1774.194 "Modeste" 5500 "1er quartile" "5" "2" "Un. urb. de 2 000 a 9 999 hab." "Locataire" "41-50" "Autre menage" 4 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 4 0 0 0.23 0 3.86 0.995 0 30 5 0 20.2172113762148
"Employes" 5500 "Moyenne Inf" 5500 "3eme quartile" "5" "2" "Un. urb. de 2 000 a 9 999 hab." "Locataire" "41-50" "Personne seule" 1 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 1 0 0 0 0 0.25 0 0 30 0 1 18.9798919387389
"Cadres et prof. intellectuelles sup." 13541.67 "Aise" 32500 "4eme quartile" "5" "4" "Un. urb. de 10 000 a 99 999 hab." "Proprietaire" "51-60" "Autre menage" 3 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0 0 5.52 2.005 9.511 0 2.75189393552146 275 4 1 24.3754292206649
"Ouvriers" 3541.667 "Moyenne Inf" 8500 "2eme quartile" "5" "4" "Un. urb. de 10 000 a 99 999 hab." "Proprietaire" "51-60" "Autre menage" 3 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0 0 0.46 0.4 18.565 2.065 0.413566707165779 41 4 0 15.717827477862
"Ouvriers" 2435.897 "Modeste" 9500 "1er quartile" "5" "4" "Un. urb. de 10 000 a 99 999 hab." "Proprietaire" "51-60" "Couple avec enfant(s)" 6 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 3 0 0.4 0 0.975 14.7 1.31 0.0146765187754376 1 7 0 9.60312416384394
"Retraites" 5588.235 "Moyenne Inf" 9500 "3eme quartile" "5" "4" "Un. urb. de 10 000 a 99 999 hab." "Proprietaire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 4.135 7.273 7.365 3.335 1.86852610276075 187 3 1 13.654276217395
"Artisans, comm., chefs d'ent." 4411.765 "Moyenne Inf" 7500 "2eme quartile" "5" "0" "Communes rurales" "Proprietaire" "51-60" "Couple sans enfant" 2 "Pas d'enfants" "Non declare" "Au - 1 vehicule" 2 0 0 1.84 0 3.35 1.925 0 30 3 0 17.033771453501
